idx,lineno,itemno,Order_date,day_night_type,product_date,quantity,cnt
55645310,1200,73721-G6000-100,44783,1,2022-08-10 9:38,3,18134586
55645313,1200,73721-G6000-100,44783,1,2022-08-10 9:38,3,18134589
55645315,1200,73721-G6000-100,44783,1,2022-08-10 9:39,3,18134592
55645320,1200,73721-G6000-100,44783,1,2022-08-10 9:40,1,18134593
55645322,1200,73721-G6000-100,44783,1,2022-08-10 9:41,3,18134596
55645325,1200,73721-G6000-100,44783,1,2022-08-10 9:41,2,18134598
55645327,1200,73721-G6000-100,44783,1,2022-08-10 9:41,3,18134601
55645329,1200,73721-G6000-100,44783,1,2022-08-10 9:42,3,18134604
55645331,1200,73721-G6000-100,44783,1,2022-08-10 9:42,3,18134607
55645334,1200,73721-G6000-100,44783,1,2022-08-10 9:42,3,18134610
55645335,1200,73721-G6000-100,44783,1,2022-08-10 9:43,3,18134613
55645338,1200,73721-G6000-100,44783,1,2022-08-10 9:43,2,18134615
55645342,1200,73721-G6000-100,44783,1,2022-08-10 9:44,3,18134618
55645345,1200,73721-G6000-100,44783,1,2022-08-10 9:44,3,18134621
55645348,1200,73721-G6000-100,44783,1,2022-08-10 9:44,3,18134624
55645351,1200,73721-G6000-100,44783,1,2022-08-10 9:45,3,18134627
55645353,1200,73721-G6000-100,44783,1,2022-08-10 9:45,2,18134629
55645356,1200,73721-G6000-100,44783,1,2022-08-10 9:45,3,18134632
55645359,1200,73721-G6000-100,44783,1,2022-08-10 9:46,3,18134635
55645362,1200,73721-G6000-100,44783,1,2022-08-10 9:46,3,18134638
55645366,1200,73721-G6000-100,44783,1,2022-08-10 9:47,3,18134641
55645369,1200,73721-G6000-100,44783,1,2022-08-10 9:47,3,18134644
55645371,1200,73721-G6000-100,44783,1,2022-08-10 9:47,3,18134647
55645374,1200,73721-G6000-100,44783,1,2022-08-10 9:48,2,18134649
55645377,1200,73721-G6000-100,44783,1,2022-08-10 9:48,3,18134652
55645380,1200,73721-G6000-100,44783,1,2022-08-10 9:48,3,18134655
55645384,1200,73721-G6000-100,44783,1,2022-08-10 9:49,3,18134658
55645386,1200,73721-G6000-100,44783,1,2022-08-10 9:49,3,18134661
55645390,1200,73721-G6000-100,44783,1,2022-08-10 9:50,3,18134664
55645393,1200,73721-G6000-100,44783,1,2022-08-10 9:50,2,18134666
55645396,1200,73721-G6000-100,44783,1,2022-08-10 9:50,3,18134669
55645400,1200,73721-G6000-100,44783,1,2022-08-10 9:51,3,18134672
55645402,1200,73721-G6000-100,44783,1,2022-08-10 9:51,3,18134675
55645405,1200,73721-G6000-100,44783,1,2022-08-10 9:51,3,18134678
55645408,1200,73721-G6000-100,44783,1,2022-08-10 9:52,3,18134681
55645412,1200,73721-G6000-100,44783,1,2022-08-10 9:52,3,18134684
55645414,1200,73721-G6000-100,44783,1,2022-08-10 9:53,2,18134686
55645417,1200,73721-G6000-100,44783,1,2022-08-10 9:53,3,18134689
55645421,1200,73721-G6000-100,44783,1,2022-08-10 9:53,3,18134692
55645424,1200,73721-G6000-100,44783,1,2022-08-10 9:54,3,18134695
55645428,1200,73721-G6000-100,44783,1,2022-08-10 9:54,3,18134698
55645430,1200,73721-G6000-100,44783,1,2022-08-10 9:54,3,18134701
55645432,1200,73721-G6000-100,44783,1,2022-08-10 9:55,2,18134703
55645435,1200,73721-G6000-100,44783,1,2022-08-10 9:55,3,18134706
55645438,1200,73721-G6000-100,44783,1,2022-08-10 9:56,3,18134709
55645441,1200,73721-G6000-100,44783,1,2022-08-10 9:56,3,18134712
55645444,1200,73721-G6000-100,44783,1,2022-08-10 9:56,3,18134715
55645447,1200,73721-G6000-100,44783,1,2022-08-10 9:57,3,18134718
55645450,1200,73721-G6000-100,44783,1,2022-08-10 9:57,3,18134721
55645454,1200,73721-G6000-100,44783,1,2022-08-10 9:57,3,18134724
55645457,1200,73721-G6000-100,44783,1,2022-08-10 9:58,2,18134726
55645459,1200,73721-G6000-100,44783,1,2022-08-10 9:58,1,18134727
55645462,1200,73721-G6000-100,44783,1,2022-08-10 9:58,2,18134729
55645464,1200,73721-G6000-100,44783,1,2022-08-10 9:59,3,18134732
55645467,1200,73721-G6000-100,44783,1,2022-08-10 9:59,3,18134735
55645471,1200,73721-G6000-100,44783,1,2022-08-10 9:59,3,18134738
55645473,1200,73721-G6000-100,44783,1,2022-08-10 10:00,3,18134741
55645476,1200,73721-G6000-100,44783,1,2022-08-10 10:00,3,18134744
55645479,1200,73721-G6000-100,44783,1,2022-08-10 10:00,2,18134746
55645482,1200,73721-G6000-100,44783,1,2022-08-10 10:01,3,18134749
55645485,1200,73721-G6000-100,44783,1,2022-08-10 10:01,3,18134752
55645489,1200,73721-G6000-100,44783,1,2022-08-10 10:02,3,18134755
55645491,1200,73721-G6000-100,44783,1,2022-08-10 10:02,3,18134758
55645494,1200,73721-G6000-100,44783,1,2022-08-10 10:02,3,18134761
55645497,1200,73721-G6000-100,44783,1,2022-08-10 10:03,2,18134763
55645500,1200,73721-G6000-100,44783,1,2022-08-10 10:03,3,18134766
55645503,1200,73721-G6000-100,44783,1,2022-08-10 10:03,3,18134769
55645505,1200,73721-G6000-100,44783,1,2022-08-10 10:04,3,18134772
55645508,1200,73721-G6000-100,44783,1,2022-08-10 10:04,3,18134775
55645511,1200,73721-G6000-100,44783,1,2022-08-10 10:05,3,18134778
55645514,1200,73721-G6000-100,44783,1,2022-08-10 10:05,2,18134780
55645516,1200,73721-G6000-100,44783,1,2022-08-10 10:05,1,18134781
55645519,1200,73721-G6000-100,44783,1,2022-08-10 10:05,2,18134783
55645522,1200,73721-G6000-100,44783,1,2022-08-10 10:06,3,18134786
55645525,1200,73721-G6000-100,44783,1,2022-08-10 10:06,3,18134789
55645527,1200,73721-G6000-100,44783,1,2022-08-10 10:06,3,18134792
55645530,1200,73721-G6000-100,44783,1,2022-08-10 10:07,2,18134794
55645532,1200,73721-G6000-100,44783,1,2022-08-10 10:07,1,18134795
55645534,1200,73721-G6000-100,44783,1,2022-08-10 10:07,2,18134797
55645536,1200,73721-G6000-100,44783,1,2022-08-10 10:07,1,18134798
55645538,1200,73721-G6000-100,44783,1,2022-08-10 10:08,2,18134800
55645541,1200,73721-G6000-100,44783,1,2022-08-10 10:08,3,18134803
55645544,1200,73721-G6000-100,44783,1,2022-08-10 10:08,3,18134806
55645548,1200,73721-G6000-100,44783,1,2022-08-10 10:09,3,18134809
55645550,1200,73721-G6000-100,44783,1,2022-08-10 10:09,3,18134812
55645553,1200,73721-G6000-100,44783,1,2022-08-10 10:09,3,18134815
55645557,1200,73721-G6000-100,44783,1,2022-08-10 10:10,2,18134817
55645558,1200,73721-G6000-100,44783,1,2022-08-10 10:10,1,18134818
55645561,1200,73721-G6000-100,44783,1,2022-08-10 10:10,2,18134820
55645564,1200,73721-G6000-100,44783,1,2022-08-10 10:11,3,18134823
55645567,1200,73721-G6000-100,44783,1,2022-08-10 10:11,3,18134826
55645569,1200,73721-G6000-100,44783,1,2022-08-10 10:11,3,18134829
55645572,1200,73721-G6000-100,44783,1,2022-08-10 10:12,3,18134832
55645576,1200,73721-G6000-100,44783,1,2022-08-10 10:12,3,18134835
55645578,1200,73721-G6000-100,44783,1,2022-08-10 10:12,2,18134837
55645582,1200,73721-G6000-100,44783,1,2022-08-10 10:13,3,18134840
55645585,1200,73721-G6000-100,44783,1,2022-08-10 10:13,3,18134843
55645587,1200,73721-G6000-100,44783,1,2022-08-10 10:14,3,18134846
55645590,1200,73721-G6000-100,44783,1,2022-08-10 10:14,3,18134849
55645593,1200,73721-G6000-100,44783,1,2022-08-10 10:14,2,18134851
55645596,1200,73721-G6000-100,44783,1,2022-08-10 10:15,3,18134854
55645599,1200,73721-G6000-100,44783,1,2022-08-10 10:15,3,18134857
55645602,1200,73721-G6000-100,44783,1,2022-08-10 10:15,3,18134860
55645606,1200,73721-G6000-100,44783,1,2022-08-10 10:16,3,18134863
55645608,1200,73721-G6000-100,44783,1,2022-08-10 10:16,3,18134866
55645611,1200,73721-G6000-100,44783,1,2022-08-10 10:17,2,18134868
55645613,1200,73721-G6000-100,44783,1,2022-08-10 10:17,1,18134869
55645616,1200,73721-G6000-100,44783,1,2022-08-10 10:17,2,18134871
55645618,1200,73721-G6000-100,44783,1,2022-08-10 10:17,3,18134874
55645621,1200,73721-G6000-100,44783,1,2022-08-10 10:18,3,18134877
55645624,1200,73721-G6000-100,44783,1,2022-08-10 10:18,3,18134880
55645628,1200,73721-G6000-100,44783,1,2022-08-10 10:18,3,18134883
55645630,1200,73721-G6000-100,44783,1,2022-08-10 10:19,2,18134885
55645633,1200,73721-G6000-100,44783,1,2022-08-10 10:19,3,18134888
55645636,1200,73721-G6000-100,44783,1,2022-08-10 10:20,3,18134891
55645640,1200,73721-G6000-100,44783,1,2022-08-10 10:20,3,18134894
55645642,1200,73721-G6000-100,44783,1,2022-08-10 10:20,3,18134897
55645645,1200,73721-G6000-100,44783,1,2022-08-10 10:21,3,18134900
55645649,1200,73721-G6000-100,44783,1,2022-08-10 10:21,3,18134903
55645652,1200,73721-G6000-100,44783,1,2022-08-10 10:21,2,18134905
55645654,1200,73721-G6000-100,44783,1,2022-08-10 10:21,1,18134906
55645657,1200,73721-G6000-100,44783,1,2022-08-10 10:22,2,18134908
55645661,1200,73721-G6000-100,44783,1,2022-08-10 10:22,3,18134911
55645663,1200,73721-G6000-100,44783,1,2022-08-10 10:23,3,18134914
55645666,1200,73721-G6000-100,44783,1,2022-08-10 10:23,3,18134917
55645669,1200,73721-G6000-100,44783,1,2022-08-10 10:23,3,18134920
55645672,1200,73721-G6000-100,44783,1,2022-08-10 10:24,3,18134923
55645676,1200,73721-G6000-100,44783,1,2022-08-10 10:24,2,18134925
55645679,1200,73721-G6000-100,44783,1,2022-08-10 10:24,3,18134928
55645681,1200,73721-G6000-100,44783,1,2022-08-10 10:25,3,18134931
